id,budget,genres,popularity,release_date,revenue,title,vote_average,vote_count,release_year,return,DiaSemana,Mes,cast,crew
46011,0.0,"['Drama', 'Comedy', 'Music', 'Romance', 'Family']",0.078792,1953-03-25,0.0,Call Me Madam,8.5,2.0,1953,0.0,Miércoles,Marzo,"['Ethel Merman', ""Donald O'Connor"", 'Vera-Ellen', 'George Sanders', 'Billy De Wolfe', 'Helmut Dantine', 'Walter Slezak', 'Steven Geray', 'Ludwig Stössel', 'Lilia Skala', 'Charles Dingle', 'Emory Parnell', 'Percy Helton', 'Bess Flowers', 'Oskar Beregi']",['Walter Lang']
227245,0.0,"['Drama', 'Romance']",0.15018,1958-08-04,0.0,The Last Day of Summer,6.3,4.0,1958,0.0,Lunes,Agosto,"['Irena Laskowska', 'Jan Machulski']","['Tadeusz Konwicki', 'Tadeusz Konwicki', 'Jan Laskowski', 'Wieslawa Otocka', 'Jerzy Laskowski', 'Andrzej Galinski', 'Malgorzata Jaworska', 'Arkadiusz Zaton', 'Józef Bartczak']"
56525,6000000.0,['Action'],0.471086,2007-10-18,11171900.0,Boj S Tenyu 2: Revansh,5.6,5.0,2007,1.861983333333333,Jueves,Octubre,"['Denis Nikiforov', 'Andrei Panin', 'Elena Panova', 'Ivan Makarevich', 'Dmitriy Shevchenko', 'Pavel Derevyanko', 'Mikhail Gorevoy']","['Anton Megerdichev', 'Aleksei Sidorov']"
13495,24000000.0,['Action'],5.035414,2006-09-01,23321954.0,Alatriste,5.6,62.0,2006,0.9717480833333332,Viernes,Septiembre,"['Viggo Mortensen', 'Elena Anaya', 'Unax Ugalde', 'Eduard Fernández', 'Eduardo Noriega', 'Ariadna Gil', 'Juan Echanove', 'Javier Cámara', 'Antonio Dechent', 'Blanca Portillo', 'Francesc Garrido', 'Pilar López de Ayala', 'Jesús Castejón', 'Cristina Marcos', 'Luis Zahera', 'Carlos Bardem']","['José Salcedo', 'Arturo Pérez-Reverte', 'Antonio Cardenal', 'Roque Baños', 'Álvaro Augustín', 'Belén Atienza', 'Paco Femenia', 'Agustín Díaz Yanes', 'Agustín Díaz Yanes', 'Íñigo Marco', 'Carlota Pérez-Reverte']"
347870,0.0,['Comedy'],0.957564,2016-03-13,0.0,Slash,6.6,17.0,2016,0.0,Domingo,Marzo,"['Michael Ian Black', 'Burnie Burns', 'Violett Beane', 'Hannah Marks', 'Missi Pyle', 'Peter Vack', 'Sarah Ramos', 'Michael Johnston', 'Deborah Abbott', 'Laura Bailey', 'Courtney Bandeko', 'Brandy Burre', 'Alexandria DeBerry', 'Amy Leigh Edwards', 'Jessie Ennis', 'John Ennis', 'Luciana Faulhaber', 'John Gholson', 'Mark Hosack', 'Isaac Ireland', 'Angela Kinsey', 'Kerri Lendo', 'Jonathan Lisecki', 'Robert Longstreet', 'Caitlyn Moore', 'Dakota Morrissiey']","['Clay Liford', 'Clay Liford', 'David Fabelo']"
232898,0.0,"['Family', 'Drama']",1.418856,2013-10-22,0.0,Storm Rider,5.6,5.0,2013,0.0,Martes,Octubre,"['Danielle Ryan Chuchran', 'Jacob Buster', 'Kevin Sorbo', 'Sam Sorbo', 'Kristy Swanson', 'C. Thomas Howell']","['Craig Clyde', 'Craig Clyde', 'Bryce W. Fillmore']"
13260,0.0,['Comedy'],6.733237,2008-02-28,33472850.0,Semi-Pro,5.4,255.0,2008,0.0,Jueves,Febrero,"['Will Ferrell', 'Maura Tierney', 'Woody Harrelson', 'David Koechner', 'Will Arnett', 'André Benjamin', 'Andy Richter', 'Rob Corddry', 'Tim Meadows', 'Jackie Earle Haley', 'Matt Walsh', 'Kristen Wiig', 'Andrew Daly', 'DeRay Davis', 'Collette Wolfe', 'Jason Sudeikis']","['Scot Armstrong', 'Kent Alterman', 'Brian Avery']"
47518,8500000.0,['Horror'],3.436769,2010-06-15,0.0,The Tortured,5.3,53.0,2010,0.0,Martes,Junio,"['Erika Christensen', 'Jesse Metcalfe', 'Bill Moseley', 'Chelah Horsdal', 'Fulvio Cecere', 'Aaron Pearl', 'Kayden Kessler', 'Sheila Shah', 'Samantha Gutstadt', 'Jakob Davies', 'Jessie Rusu', 'Viv Leacock', 'Yee Jee Tso', 'Stephen Park', 'Alfonso Quijada', 'Kurt Max Runte', 'Darryl Scheelar', 'Carl Mazzocone Sr.', 'Bill Lippincott', 'Thomas Greenwood', 'Lynn Colliar', 'Marke Driesschen', 'Peter Abrams', 'Linda Curial', 'Paul Herbert', 'Stephen Miller', 'Nigel John Taylor', 'Donita Dyer', 'John Stewart', 'J. Larose', 'Zak Santiago']","['Mark Burg', 'Oren Koules', 'Robert Lieberman', 'Jim Page', 'Peter Woeste', 'Shirley Inget', 'Jeff Rona', 'Marek Posival', 'Carl Mazzocone', 'Brian Davie', 'Nancy Bryant', 'Anneke Van Oort', 'Kate Heslup']"
14757,46000.0,['Drama'],2.066368,2003-05-20,0.0,Osama,6.3,33.0,2003,0.0,Martes,Mayo,"['Marina Golbahari', 'Arif Herati', 'Zubaida Sahar', 'Mohammad Nadir Khwaja']","['Ebrahim Ghafori', 'Makoto Ueda', 'Siddiq Barmak', 'Siddiq Barmak', 'Siddiq Barmak', 'Siddiq Barmak', 'Akbar Meshkini', 'Mohammad Reza Darvishi', 'Mohsen Makhmalbaf', 'Julie LeBrocquy', 'Razi Mohebi', 'Julia Fraser']"
347850,0.0,"['Mystery', 'Horror', 'Thriller']",1.449125,2016-03-14,0.0,The Unfolding,4.0,10.0,2016,0.0,Lunes,Marzo,"['Lachlan Nieboer', 'Lisa Kerr', 'Nick Julian', 'Kitty McGeever', 'Robert Daws']","['Eugene McGing', 'Eugene McGing', 'Leslie Rothwell', 'Cinders Forshaw', 'Jazz Goddard', 'Edward Barton', 'Tom Coates', 'Jon Meakins', 'Oli Novadnieks', 'Louise Woodham', 'Russell De Rozario', 'Liz Hebbron', 'John Paul Docherty', 'Eugene McGing', 'Marcus Millichope', 'Aidan Hobbs', 'Howard Bargroff', 'Ben Baird']"
